id	control	cultivar	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
92	br_Malvasia Bianca	Malvasia Bianca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046	12319	16474	18306	34816	0	0	0	40689	4710	0	1792354	785519	637835	407387	350631	359199	192862	191316	325942	281064	49176	138608	119122	184949	414603	602081	217177	629101	574521	nd	494343	1165104
93	br_Malvasia Chianti	Malvasia Chianti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18411	24030	14705	15235	4730	0	2142	0	0	5061	7632	0	1314	0	0	nd	0	0
94	br_Malvasia Verde	Malvasia Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18637	0	0	10510	0	65144	0	0	0	0	173550	60915	244313	201609	165991	285416	145111	145670	253369	289366	331718	83565	60776	10979	18690	8825	5108	2460	10457	15220	nd	26597	3578
95	br_Malvasia di Candia	Malvasia di Candia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403192	273020	135690	134390	146558	160845	228221	283476	628749	739588	649194	1727224	1825193	1692882	1888539	2512864	1268750	2785543	2557871	nd	3389071	1544223
96	br_Malvasia Istriana	Malvasia Istriana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	1090	950
97	br_Mistura de uvas viníferas	Mistura de uvas viníferas branco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	12278
98	br_Mistura de uvas viníferas	Mistura de uvas viníferas rosado	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	325922
99	br_Moscato_branco	Moscato Branco	5772931	5334475	5378768	3490996	10348989	8716599	9297817	10212209	8696749	11743280	7650069	12114399	13984946	9067746	11156471	18464456	12858661	15436116	22528034	22513823	19690691	9533114	19854192	15255972	14611629	14045052	14374633	13576155	9495554	19636525	19535723	12038417	13809332	9788714	13066588	10145908	10748618	15717087	14744061	14294841	8595609	16871284	13322429	13136399	12669980	12788740	6068181	14475142	11202231	nd	11868851	12100995
100	br_Moscato Canelli	Moscato Canelli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7581	19758	1059	13112	461612	57796	84053	65107	61009	55811	92887	123255	64800	85785	72462	30378	57083	121008	nd	138482	109714
101	br_Moscato Giallo	Moscato Giallo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1217	17700	115727	357251	349892	691230	703485	776846	1173519	1122457	1446926	1151570	1949920	1641498	1813522	1742605	1785956	813952	2091933	1590531	nd	1597829	6365205
102	br_Moscato Nazareno	Moscato Nazareno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287347	401583	503500	948435	921620	544530	616480	1035000	858910	690210	882104	633606	831206	886808	886075	361638	890655	639810	nd	554762	77912
103	br_Moscato Bianco R2	Moscato Bianco R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287021	443153	331718	406650	430599	510594	317404	808748	618266	678267	770265	863910	257647	868260	867445	nd	864917	2920047
104	br_Moscato de Alexandria	Moscato de Alexandria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20550	45277	32129	51979	85756	87359	41426	105384	184748	211532	160290	192945	53037	115910	95647	nd	153442	431897
105	br_Moscato Rosado	Moscato Rosado	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31105	1872	13219	0	0	0	5310	1226	0	0	2396	7617	0	0	0	0	0	0	0	nd	500	15030
106	br_Muscat a Petits Grains	Muscat à Petits Grains	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	nd	8030	895346
107	br_Muller Thurgau	Muller Thurgau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2028	7026	11881	17629	17142	36313	19915	26382	31497	40535	27587	15307	19699	15232	19128	22207	12530	7770	3820	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
108	br_Muscadelle	Muscadelle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2007	5536	5515	4425	5430	4215	600	842	1342	2489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
109	br_Ora	Ora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4045	0	0	0	0	0	0	0	0	nd	0	0
110	br_Palomino	Palomino	0	0	0	0	0	715	0	1156	1430	2507	3917	5329	5687	7328	19500	30395	46533	50919	62679	64664	58657	50188	75366	107812	16137	17661	29436	16819	13406	19023	28451	19125	7959	5500	4530	4184	2270	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
111	br_Petit Manseng	Petit Manseng	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1430	nd	0	570
112	br_Peverella	Peverella	2084128	2117931	1087692	1416283	1596138	2648598	1908436	1389009	2110072	1959410	1047031	1508861	2423524	1375905	1288629	2630718	2036768	1683632	1848715	1943429	2072218	1369962	830149	1002158	1590524	781672	541364	522848	543544	224731	556215	325243	282527	159457	189972	192474	137031	111726	103270	48994	28945	64218	43656	44137	28452	40719	5557	16350	33439	nd	15858	70925
113	br_Pinot Blanc	Pinot Blanc	4000	0	0	0	0	479	2066	11984	21313	930	900	572	1825	9076	15611	129010	168354	229908	413142	516219	801355	779277	356714	496546	563207	519140	536426	421175	257467	229112	486786	227064	170590	63768	77942	60704	12245	14620	40109	8030	16940	26307	10174	8720	5980	7218	0	0	17028	nd	3000	0
114	br_Pinot Gris	Pinot Gris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2680	4771	4324	5821	4054	4091	1548	3358	992	0	257	0	0	0	0	2904	23206	41070	28779	41660	52000	36036	158788	187685	126844	118123	118118	67394	165697	98728	nd	183818	79922
115	br_Prosecco	Prosecco	0	0	0	0	0	0	0	0	0	0	0	0	7771	8211	9327	108830	122524	235512	449028	401705	364665	266752	249335	319841	358042	269092	325159	319186	249502	228568	455579	365590	360238	341380	395644	789457	917214	910158	1930887	2169397	1345161	2720048	2420715	2852648	3030347	3319779	1873735	3342655	4018371	nd	4393451	184218
116	br_Red Veltliner	Red Veltliner	0	0	0	0	0	0	0	0	0	0	0	1156	4240	1499	2440	4689	2522	654	1512	0	0	0	0	0	5917	9016	10527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
117	br_Riesling Italico	Riesling Italico	413149	404159	304688	402329	1413722	1549553	1505603	1782484	1609807	1886081	2360144	3447930	3752318	3402460	4557416	7207668	4267206	8110697	10052438	9385386	11632192	7151423	7351738	7711434	8114641	8708541	8270792	8184477	4532556	6573788	8855066	5573372	3821716	3135257	2964308	3496056	1901717	1960822	2698892	2466530	2120405	2618429	3172992	3069854	2705224	3468606	1697248	4283929	3724926	nd	3020102	20399648
118	br_Riesling Renano	Riesling Renano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5224	163005	426596	0	1505571	2105616	501972	456345	987266	1388349	480873	831082	609615	616675	859540	479779	380135	212917	154533	95021	282012	252740	213256	242940	243690	90530	96828	125166	195120	99230	94276	153605	53550	105100	121020	nd	108260	13385970
119	br_Sauvignon Blanc(2)	Sauvignon Blanc(2)	2819	5492	49244	12886	71812	43487	66163	1161046	1267449	710596	677739	880228	122285	109219	65207	190061	250087	251663	387957	594507	764746	964644	677896	1108383	1061444	1007060	945476	1022535	722142	840555	1156987	805245	544973	441667	690146	738053	606465	618034	608983	657286	350866	612060	855045	633633	515939	614222	295942	677028	517760	nd	818549	728633
120	br_Sauvignon Gris	Sauvignon Gris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3213	5534	2147	3629	8513	2854	3737	921	1504	0	0	0	nd	1028	0
121	br_Seara Nova	Seara Nova	0	0	0	0	0	0	0	0	0	0	0	0	5300	165	425	1640	965	2273	5965	5941	9338	6958	17061	17691	53320	90957	90729	72809	3707	9550	18890	9120	0	824	6597	3900	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
122	br_Semillon	Semillon	1916	0	5172	20447	91675	99569	227838	371084	969832	1125402	1150235	1547289	2699929	2868842	3930216	7393292	6503648	6382755	9118811	8974449	9189656	4808084	4049116	4720136	4777683	4168130	4078162	3656512	2794570	2710748	4310660	2778595	2037827	1129580	1284398	1375957	600858	408016	562371	382995	165518	312204	336252	335323	149939	177672	57635	188211	225952	nd	193760	4000
123	br_Schonburger	Schonburger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2155	6505	15239	17687	16930	0	14538	21348	14087	5194	0	0	7454	14354	nd	14499	5500
124	br_Sylvaner	Sylvaner	0	0	0	0	0	0	0	0	159	1774	5468	11068	14451	34377	41038	73591	66793	51359	112726	141263	166398	105962	120621	142734	134300	88474	54173	46259	764782	84391	129489	50867	54811	14085	11273	12927	4530	4693	6587	492	0	1435	144	155	0	0	0	0	0	nd	0	0
125	br_Tocai Friulano	Tocai Friulano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	1821	619	124	3467	3118	6143	3122	8198	7904	6530	3357	811	675	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
126	br_Trebbiano	Trebbiano	7277270	12225175	9579813	5722394	10863544	14335368	14078518	15228827	14379466	16868971	13100126	17883890	20630475	13105231	17582216	24178593	16567251	12854969	23541232	21370782	18845488	13065462	10465345	8890736	8807970	7282643	5201279	6147074	5416678	4189110	5413475	3158394	2430532	1454210	2043524	1974463	1376390	1711643	1846212	1578176	1338957	2439317	2576020	2876041	3342859	3830336	2083491	3892478	4504485	nd	4682326	67720
127	br_Trebbiano Toscano	Trebbiano Toscano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2694	100047	18110	nd	122512	184310
128	br_Verdea	Verdea	0	6184	0	1864	3216	4264	2648	0	1252	182	0	0	305	1315	0	0	809	0	0	0	0	0	0	0	24667	0	1837	0	0	0	0	0	52	0	60	4620	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
129	br_Verdelho	Verdelho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7900	7785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12420	14339	0	0	0	0	0	1800	nd	1540	15503
130	br_Verdiso	Verdiso	7950	770	0	0	0	0	0	0	0	0	11497	10279	24470	9251	46048	23684	0	0	5895	0	970	0	2670	0	0	0	0	1250	0	1654	1435	1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
131	br_Vermentino	Vermentino	20461	6097	8945	6153	8954	7070	6478	5649	3802	3848	2446	2487	717	17866	29380	32124	22409	22566	43631	40395	29830	22976	29997	31240	28165	38338	16910	20335	1130	12833	17835	11510	8960	7612	6090	6340	1040	660	3090	1940	560	5480	4844	3220	1890	790	0	0	0	nd	0	0
132	br_Vernaccia	Vernaccia	122467	190297	111691	65995	114553	135975	142787	170590	108824	252585	197401	366796	428996	383615	826441	1450663	978903	1124796	1701470	1300388	1603877	1147439	821716	940415	898589	674738	458887	509954	319538	315739	501737	258814	125716	128334	94237	57162	34760	32672	21146	14498	6520	4930	3780	7970	4150	4760	0	5100	4020	nd	95680	0
133	br_Viognier	Viognier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	3219	16581	37628	41338	49935	76145	144979	200288	247081	149333	285217	95231	365103	470555	nd	531026	78305
134	br_Outras(3)	Outras(3)	2126291	1148313	648335	334680	200652	270015	2089793	1875445	231860	0	0	0	0	0	0	26	793	1304	5724	0	0	26796	0	16341	18318	0	34280	49983	0	410	73487	23457	240894	258677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nd	0	0
